event,start_date,end_date,weight,products
Spring Season,2025-03-01,2025-04-15,0.5,"['Floral Dresses', 'Light Jackets', 'Sunglasses', 'Garden Seeds', 'Allergy Medicines', 'Air Purifiers', 'Picnic Baskets', 'Sports Shoes', 'Travel Water Bottles', 'Camera Gear']"
Summer Season,2025-04-01,2025-06-15,0.5,"['Sunscreen', 'Caps', 'Cotton Clothes', 'Electrolyte Drinks', 'Coolers', 'ACs', 'Sunglasses', 'Portable Fans', 'Hats', 'Ice Creams']"
Rainy Season,2025-06-01,2025-09-15,0.5,"['Umbrellas', 'Raincoats', 'Waterproof Bags', 'Rubber Footwear', 'Dehumidifiers', 'Mosquito Repellents', 'Windcheaters', 'Rainproof School Bags', 'Plastic Storage Boxes', 'Rain Covers']"
Winter Season,2025-10-15,2026-02-15,0.5,"['Sweaters', 'Heaters', 'Jackets', 'Thermal Wear', 'Hot Water Bottles', 'Blankets', 'Woolen Socks', 'Room Heaters', 'Mufflers', 'Gloves']"
School Reopening,2025-06-16,2025-07-15,0.2,"['Stationery Kits', 'School Bags', 'Water Bottles', 'Lunch Boxes', 'School Uniforms', 'Pencil Boxes', 'Notebooks', 'Geometry Boxes', 'School Shoes', 'Raincoats']"
College Reopening,2025-08-01,2025-08-31,0.2,"['Laptops', 'Scientific Calculators', 'Notebooks', 'College Bags', 'Pen Drives', 'Power Banks', 'Casual Shoes', 'Desk Lamps', 'Bluetooth Earphones', 'Diaries']"
Makar Sankranti,2025-01-14,2025-01-14,0.2,"['Til Ladoo', 'Kite Sets', 'Gud', 'Tilkut', 'Chikki', 'Kite Strings', 'Sesame Oil', 'Traditional Kurta', 'Groundnut Ladoo', 'Sun God Posters']"
Shiv Jayanti,2025-02-19,2025-02-19,0.15,"['History Books', 'Maratha Flags', 'Statues of Shivaji Maharaj', 'Traditional Pheta Turban', 'Saffron Scarves', 'Sword Replicas', 'Jayanti Badges', 'Dhol Tasha Instruments', 'Event Banners', 'Modak Boxes']"
International Yoga Day,2025-06-21,2025-06-21,0.15,"['Yoga Mats', 'Yoga Blocks', 'Resistance Bands', 'Athleisure Wear', 'Water Bottles', 'Fitness Trackers', 'Meditation Cushions', 'Herbal Teas', 'Yoga Books', 'Eco-friendly Towels']"
Raksha Bandhan,2025-08-08,2025-08-08,0.2,"['Rakhi Sets', 'Gift Hampers', 'Sweets Boxes', 'Dry Fruits', 'Greeting Cards', 'Puja Thali', 'Bracelets', 'Personalized Gifts', 'Chocolate Boxes', 'Decorative Plates']"
Ganesh Chaturthi,2025-08-28,2025-08-30,0.3,"['Ganesh Idols', 'Puja Items', 'Flowers', 'Modak Steamers', 'Traditional Dress', 'Clay Items', 'Decorative Lights', 'Banana Leaves', 'Torans', 'Sweets Boxes']"
Independence Day,2025-08-15,2025-08-15,0.15,"['Flags', 'Badges', 'Decorations', 'Sweets', 'Cultural Costumes', 'Ethnic Wear', 'Tri-color Scarves', 'Event Props', 'Whistles', 'Banners']"
Diwali,2025-10-20,2025-10-25,0.3,"['Fairy Lights', 'Diyas', 'Sweets Boxes', 'Gift Hampers', 'Ethnic Wear', 'Firecrackers', 'Decorative Items', 'Laxmi Idols', 'Rangoli Colors', 'Candles']"
Holi,2025-03-14,2025-03-14,0.3,"['Gulal', 'Pichkaris', 'Water Balloons', 'White T-shirts', 'Holi Sweets', 'Raincoats', 'Organic Colors', 'Holi Guns', 'Sunglasses', 'Color Protect Shampoo']"
Christmas & Winter Holidays,2025-12-15,2026-01-05,0.3,"['Christmas Trees', 'Santa Hats', 'Gift Wraps', 'Toys', 'Chocolates', 'Baking Supplies', 'Woolen Clothes', 'Winter Jackets', 'Travel Bags', 'Heaters']"
Republic Day,2025-01-26,2025-01-26,0.15,"['Indian Flags', 'Flag Pins', 'Patriotic Badges', 'Tricolor Balloons', 'Cultural Costumes', 'White Kurtas', 'Whistles', 'Event Banners', 'Mini Flag Stands', 'Greeting Cards']"
